host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_shared_rooms,reviews_per_month
2014-06-05,within a few hours,0.9,0.5,f,t,t,-22.95161,-43.18453,Entire home/apt,2,1.0,1.0,1.0,165.0,60,360,t,28,58,88,363,0,,,,,,,,f,0,
2019-09-13,within an hour,1.0,1.0,f,t,t,-22.94272,-43.19963,Entire home/apt,6,3.5,3.0,3.0,700.0,2,1125,t,29,59,84,359,4,4.5,4.75,4.25,5.0,5.0,4.25,4.75,f,0,1.52
2016-01-02,,,,f,t,f,-22.93415,-43.24459,Entire home/apt,2,2.0,1.0,2.0,258.0,2,1125,t,29,59,89,364,0,,,,,,,,f,0,
2017-01-21,within an hour,1.0,1.0,f,t,t,-22.89553,-43.28125,Private room,2,1.0,1.0,3.0,72.0,3,365,t,30,60,90,365,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,2,0.09
2015-08-28,within a few hours,1.0,0.52,f,t,t,-23.01045,-43.32112,Entire home/apt,3,2.0,1.0,2.0,400.0,2,1125,t,16,40,59,334,10,5.0,5.0,4.3,4.8,4.9,5.0,4.8,f,0,0.56
2016-01-25,,,,f,t,f,-23.01251,-43.31348,Shared room,6,2.0,1.0,6.0,361.0,2,20,t,30,60,89,89,0,,,,,,,,f,2,
2019-08-13,within an hour,0.9,0.77,f,t,f,-22.9203,-43.17967,Private room,2,1.0,1.0,1.0,75.0,1,5,t,0,3,4,11,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0,0.52
2014-08-01,within an hour,0.88,1.0,f,t,t,-22.98311,-43.19453,Entire home/apt,5,1.0,1.0,2.0,223.0,2,95,t,23,23,43,299,90,4.6,4.81,4.43,4.88,4.55,4.97,4.65,t,0,1.25
2014-07-05,within a few hours,1.0,0.82,f,t,f,-22.920961,-43.227303,Private room,2,1.0,1.0,1.0,59.0,2,90,t,0,13,36,311,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,0.31
2015-04-10,within an hour,1.0,0.86,f,t,t,-22.98721,-43.19513,Entire home/apt,2,1.0,,1.0,320.0,2,1125,t,23,38,61,321,44,4.84,4.93,4.64,4.95,4.89,4.98,4.7,f,0,2.5
